date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
2001-08-01,0,0,1,1,1,0,-7.105427357601e-15
2001-09-01,-1,-1,-1,-1,-1,0,3.5527136788005e-15
2001-10-01,1,1,1,0,0,0,-7.105427357601e-15
2001-11-01,1,1,1,2,2,1,7.105427357601e-15
2001-12-01,-1,-2,-2,-1,-1,-4.44089209850063e-16,1.4210854715202e-14
2002-01-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2002-02-01,0,0,0,0,0,0,-0.249999999999996
2002-03-01,-1.28887299576473,-1.49205213983195,-1.49205213983195,-1.49205213983195,-1.18728342373112,-0.492052139831951,-7.105427357601e-15
2002-04-01,1.28887299576473,1.49205213983195,0.492052139831951,0.492052139831951,1.18728342373112,0.492052139831951,3.5527136788005e-15
2002-05-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-1,1.06581410364015e-14
2002-06-01,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1.06581410364015e-14
2002-07-01,1,1,1,0,0,0,-7.105427357601e-15
2002-08-01,0,0,0,1,1,1,-7.105427357601e-15
2002-09-01,0,-1,-1,-1,-1,-1,3.5527136788005e-15
2002-10-01,0,1,1,1,0,0,-7.105427357601e-15
2002-11-01,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
2002-12-01,-4.44089209850063e-16,-1,-2,-2,-1,-1,1.4210854715202e-14
2003-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,7.105427357601e-15
2003-02-01,0,0,0,0,0,0,-0.249999999999996
2003-03-01,0.711127004235269,-0.492052139831951,-0.492052139831951,-0.492052139831951,-0.187283423731122,0.507947860168049,-7.105427357601e-15
2003-04-01,-0.711127004235269,0.492052139831951,0.492052139831951,-0.507947860168049,-0.812716576268879,-0.507947860168049,3.5527136788005e-15
2003-05-01,1,1,1,1,2,2,1.06581410364015e-14
2003-06-01,-1,-2,-1,-1,-1,-1,1.06581410364015e-14
2003-07-01,0,1,1,1,0,0,-7.105427357601e-15
2003-08-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2003-09-01,1,1,0,0,0,0,3.5527136788005e-15
2003-10-01,0,0,1,1,1,0,-7.105427357601e-15
2003-11-01,-1,-2,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
2003-12-01,1,1,-4.44089209850063e-16,-1,-1,-4.44089209850063e-16,1.4210854715202e-14
2004-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
2004-02-01,-1,-1,-1,-1,-1,-1,0.750000000000004
2004-03-01,1.71112700423527,1.50794786016805,1.50794786016805,0.507947860168049,0.812716576268878,0.507947860168049,-7.105427357601e-15
2004-04-01,-0.711127004235269,-0.507947860168049,-0.507947860168049,0.492052139831951,0.187283423731121,-0.507947860168049,3.5527136788005e-15
2004-05-01,-2.22044604925031e-16,-2,-1,-1,-1,-1,1.06581410364015e-14
2004-06-01,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2004-07-01,0,0,0,1,1,1,-7.105427357601e-15
2004-08-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2004-09-01,0,0,1,1,0,0,3.5527136788005e-15
2004-10-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2004-11-01,1,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2004-12-01,1,1,2,2,1,-4.44089209850063e-16,1.4210854715202e-14
