date,WorkingDays,LeapYear
2011-06-01,8.88178419700125e-16,1.06581410364015e-14
2011-07-01,-4,-7.105427357601e-15
2011-08-01,3,-7.105427357601e-15
2011-09-01,2,3.5527136788005e-15
2011-10-01,-4,-7.105427357601e-15
2011-11-01,2,7.105427357601e-15
2011-12-01,6,-1.06581410364015e-14
2012-01-01,2,7.105427357601e-15
2012-02-01,1,0.750000000000004
2012-03-01,1.27781751058817,-7.105427357601e-15
2012-04-01,-3.27781751058818,3.5527136788005e-15
2012-05-01,2,1.06581410364015e-14
2012-06-01,3.5,1.06581410364015e-14
2012-07-01,-0.5,-7.105427357601e-15
2012-08-01,3,-7.105427357601e-15
2012-09-01,-5,3.5527136788005e-15
2012-10-01,3,-7.105427357601e-15
2012-11-01,2,7.105427357601e-15
2012-12-01,-8,-1.06581410364015e-14
2013-01-01,2,7.105427357601e-15
2013-02-01,0,-0.249999999999996
2013-03-01,-5.72218248941183,-7.105427357601e-15
2013-04-01,3.72218248941182,3.5527136788005e-15
2013-05-01,2,1.06581410364015e-14
2013-06-01,-3.5,1.06581410364015e-14
2013-07-01,3,-7.105427357601e-15
2013-08-01,-0.5,-7.105427357601e-15
2013-09-01,-1.5,3.5527136788005e-15
2013-10-01,3,-7.105427357601e-15
2013-11-01,-1.5,7.105427357601e-15
2013-12-01,-4.5,-1.06581410364015e-14
2014-01-01,2,7.105427357601e-15
2014-02-01,0,-0.249999999999996
2014-03-01,-2.22218248941183,-7.105427357601e-15
2014-04-01,0.222182489411825,3.5527136788005e-15
2014-05-01,-1.5,1.06581410364015e-14
2014-06-01,-3.5,1.06581410364015e-14
2014-07-01,3,-7.105427357601e-15
2014-08-01,-4,-7.105427357601e-15
2014-09-01,2,3.5527136788005e-15
2014-10-01,3,-7.105427357601e-15
2014-11-01,-5,7.105427357601e-15
2014-12-01,-1,-1.06581410364015e-14
2015-01-01,-1.5,7.105427357601e-15
2015-02-01,0,-0.249999999999996
2015-03-01,1.27781751058817,-7.105427357601e-15
2015-04-01,0.222182489411825,3.5527136788005e-15
2015-05-01,-5,1.06581410364015e-14
2015-06-01,8.88178419700125e-16,1.06581410364015e-14
2015-07-01,3,-7.105427357601e-15
2015-08-01,-4,-7.105427357601e-15
2015-09-01,2,3.5527136788005e-15
2015-10-01,-0.5,-7.105427357601e-15
2015-11-01,-1.5,7.105427357601e-15
2015-12-01,2.5,-1.06581410364015e-14
2016-01-01,-5,7.105427357601e-15
2016-02-01,1,0.750000000000004
2016-03-01,-2.22218248941183,-7.105427357601e-15
2016-04-01,3.72218248941182,3.5527136788005e-15
2016-05-01,2,1.06581410364015e-14
2016-06-01,8.88178419700125e-16,1.06581410364015e-14
2016-07-01,-4,-7.105427357601e-15
2016-08-01,3,-7.105427357601e-15
2016-09-01,2,3.5527136788005e-15
2016-10-01,-4,-7.105427357601e-15
