date,WorkingDays,LeapYear
2022-04-01,-1.27781751058818,0.0000000000000248689957516035
2022-07-01,1,-0.0000000000000106581410364015
2022-10-01,4,-0.0000000000000106581410364015
2023-01-01,6.77781751058817,-0.249999999999996
2023-04-01,-1.27781751058818,0.0000000000000248689957516035
2023-07-01,-6,-0.0000000000000106581410364015
2023-10-01,0.499999999999999,-0.0000000000000106581410364015
2024-01-01,-2.72218248941183,0.750000000000004
2024-04-01,2.22218248941182,0.0000000000000248689957516035
2024-07-01,1,-0.0000000000000106581410364015
2024-10-01,-3,-0.0000000000000106581410364015
2025-01-01,-0.222182489411826,-0.249999999999996
2025-04-01,-4.77781751058818,0.0000000000000248689957516035
2025-07-01,1,-0.0000000000000106581410364015
2025-10-01,-3,-0.0000000000000106581410364015
2026-01-01,-0.222182489411826,-0.249999999999996
